Year;Actual;Predicted;Type
2006;27601;28924.83396278176;Train
2006;20561;23952.86757848674;Train
2006;27662;26538.12312410502;Train
2006;28842;26360.901559488328;Train
2006;40191;39982.56365383207;Train
2006;15039;21365.827843790958;Train
2006;40049;43152.43615724659;Train
2006;13320;14528.834619018764;Train
2006;24607;25354.52915317965;Train
2006;33296;32365.92681183176;Train
2006;35264;33798.53549392481;Train
2006;17075;15620.0770782691;Train
2006;15776;16787.231441367025;Train
2006;19196;22795.26221832419;Train
2006;16106;18055.08141102772;Train
2006;32699;32474.879687605444;Train
2006;18131;21370.537254924722;Train
2007;17073;19428.681794903987;Train
2007;22169;20678.40756131558;Train
2007;28924;26355.060003712177;Train
2007;13320;17574.42956101171;Train
2007;42347;41842.33782579071;Train
2007;43788;44124.99484151379;Train
2007;22847;22324.442370311197;Train
2007;25630;24983.281047589524;Train
2007;25700;25424.527752910562;Train
2007;38565;34078.43634662702;Train
2007;21195;24532.201460219047;Train
2007;22798;25280.603833423123;Train
2007;20701;28845.729126733768;Train
2007;40193;42002.41803499291;Train
2007;45335;41542.39435451353;Train
2007;17198;15453.139362446644;Train
2007;10911;23915.758605685285;Train
2007;13621;16405.43453345799;Train
2007;27721;27905.395160089665;Train
2007;27663;27996.262716382327;Train
2007;13144;15210.055185523852;Train
2007;10504;13353.488415785896;Train
2007;20639;20025.150171372738;Train
2007;16769;20133.699803491287;Train
2007;34103;32991.25961161615;Train
2007;41703;41461.408179438455;Train
2007;18890;17703.88458704434;Train
2007;29493;30894.382987217396;Train
2007;15933;15410.051562108249;Train
2007;46949;42953.49930532524;Train
2008;17815;15908.426402529047;Train
2008;30795;32652.4584481013;Train
2008;27819;25452.35704819205;Train
2008;31718;29379.181676623495;Train
2008;20115;20239.09842538781;Train
2008;14227;15794.392611170852;Train
2008;13098;13827.185257422516;Train
2008;14049;15428.37256498851;Train
2008;19388;18472.631116392648;Train
2008;41660;42403.11579470014;Train
2008;26901;21774.84287321772;Train
2008;16262;17529.759760639274;Train
2008;33199;30479.160071616643;Train
2008;26217;25480.601271852345;Train
2008;45574;44584.9750877678;Train
2008;17037;20361.84262219348;Train
2008;42784;41339.18294808591;Train
2008;22724;26105.582793671925;Train
2008;14802;19817.221198065272;Train
2008;26122;28445.03439881666;Train
2008;46071;42101.30728984939;Train
2008;28391;28119.751184889865;Train
2008;22074;25504.987219511353;Train
2008;43519;37232.914743070585;Train
2008;43761;36902.31756611949;Train
2008;19061;21485.93679713205;Train
2008;13873;16753.93931372552;Train
2008;22661;21146.47946773444;Train
2008;41634;31146.121991340344;Train
2008;15752;18615.91218617001;Train
2009;31821;26015.41450665698;Train
2009;16443;19205.95723719077;Train
2009;14217;19225.635337086776;Train
2009;13930;15988.987611858272;Train
2009;46338;44572.031768623856;Train
2009;15098;14323.107536489702;Train
2009;28610;24707.816948121963;Train
2009;32495;29918.617889224104;Train
2009;15275;15863.659119309314;Train
2009;24184;25853.090424610487;Train
2009;43786;33603.43241978925;Train
2009;18604;26268.892246389445;Train
2009;20701;20919.56908813342;Train
2009;19102;23344.695549901044;Train
2009;41586;29557.57041393443;Train
2009;17513;16228.4532643677;Train
2009;15381;15990.057416992402;Train
2009;19304;19605.334295491586;Train
2009;44417;42949.39121420566;Train
2009;46500;39853.43333673592;Train
2009;25108;21201.703319638927;Train
2009;16551;18021.34737833337;Train
2009;44305;37987.418747764634;Train
2009;24773;20920.393699041364;Train
2009;30821;32270.983632750234;Train
2009;31855;25208.024674123226;Train
2009;27549;30284.28027839612;Train
2009;44708;42236.78187361695;Train
2009;21978;19479.089439486826;Train
2009;24835;26195.450295698432;Train
2010;30570;29744.284074062412;Train
2010;20684;19805.04514657252;Train
2010;25166;26460.634104101344;Train
2010;23111;19697.326162827016;Train
2010;38698;41411.8230143835;Train
2010;26155;25924.113677689616;Train
2010;42157;37855.300782463586;Train
2010;17456;16345.54585356085;Train
2010;30122;27765.737757716408;Train
2010;24968;26495.43887073683;Train
2010;32511;30617.175505499334;Train
2010;21732;24108.051705924176;Train
2010;43884;43725.02503260113;Train
2010;15034;18030.477956730807;Train
2010;16312;21758.570726244972;Train
2010;21352;25924.401713510102;Train
2010;34393;34163.55612563398;Train
2010;29391;26942.803643110215;Train
