Year;Actual_Yield;Predicted_Yield;Data_Type
1971;12354;11762.114097552892;Train
1972;13152;11227.528188003334;Train
1973;13640;12366.7070289343;Train
1974;13984;12510.951428499951;Train
1975;13872;12590.091792209381;Train
1976;14480;13828.956803807676;Train
1977;14607;13838.95292275356;Train
1978;14444;14384.20141875619;Train
1979;15893;14923.309567091346;Train
1980;16153;15254.613526367282;Train
1981;15962;14979.041698972018;Train
1982;15435;15021.52768573588;Train
1983;15185;15228.553791483522;Train
1984;17209;15617.814969980955;Train
1985;17911;15951.12331760007;Train
1986;17269;15945.988725510317;Train
1987;18820;16474.913762593365;Train
1988;16057;15979.579624470014;Train
1989;19295;16419.91771840977;Train
1990;19649;19227.582607948883;Train
1991;19467;19057.160450782052;Train
1992;20146;18332.649721757934;Train
1993;18375;17954.494904850395;Train
1994;19234;18626.90202369978;Train
1995;18999;18656.077317531715;Train
1996;21192;20407.13372600163;Train
1997;21682;21047.00023894218;Train
1998;23439;23224.424004485045;Train
1999;24742;23555.995783454957;Train
2000;25920;24949.48168707631;Train
2001;25993;25573.264190641592;Train
2002;27946;26935.173826799622;Train
2003;26359;26459.254009187807;Train
2004;27160;27146.36235530412;Train
2005;26984;26874.48172703615;Train
2006;28842;27615.94884536227;Train
2007;28924;27641.199534447947;Train
2008;26217;26573.2406330553;Train
2009;31855;28079.817177053363;Train
2010;29391;28369.611999867204;Train
2011;30741;29054.351169477213;Train
1961;17630;18024.338692035748;Train
1962;18780;17145.64278143275;Train
1963;23242;20973.22886369771;Train
1964;21376;20258.755721671445;Train
1965;24847;21805.950732142854;Train
1966;24933;23920.205678571427;Train
1967;25613;24045.117854324857;Train
1968;26390;23492.8764492371;Train
1969;17674;18648.446853870486;Train
1970;27874;24842.74433501435;Train
1971;25006;24561.51989790846;Train
1972;25322;25294.853377397692;Train
1973;20959;19861.345211251784;Train
1974;27000;25793.906120863754;Train
1975;19915;21215.15593447298;Train
1976;23229;21061.539192923243;Train
1977;26945;25678.782007527843;Train
1978;29911;26464.090910483083;Train
1979;30738;29258.817245634324;Train
1980;26604;26472.926323181495;Train
1981;29401;28619.719661332616;Train
1982;25525;25586.92541048308;Train
1983;23262;25883.25877641198;Train
1984;32546;29749.789924648052;Train
1985;32791;30411.310319506214;Train
1986;31042;29917.429963042974;Train
1987;24747;27278.84888000485;Train
1988;35634;33226.783238991295;Train
1989;34966;31981.43103699993;Train
1990;34803;31824.89717643179;Train
1991;29161;29891.150531738716;Train
1992;33154;33023.08154541725;Train
1993;37510;35041.01465349938;Train
1994;32218;30853.798133548884;Train
1995;30679;31310.844463591962;Train
1996;32812;32859.65059194074;Train
1997;33901;32880.161766183155;Train
1998;35576;33248.68445874107;Train
1999;30195;30812.3715792372;Train
2000;29788;29822.78334620918;Train
2001;28695;29571.047255964586;Train
2002;28791;28418.51848114006;Train
2003;28065;27845.008638482723;Train
2004;30915;30818.0479526973;Train
2005;31107;29762.366061231387;Train
2006;27601;28615.91659275627;Train
2007;27663;28403.730629413207;Train
2008;31718;30156.326435108374;Train
2009;31821;28062.560531149087;Train
2010;30122;29529.520412288446;Train
2011;31968;30039.089856777555;Train
1961;24300;23789.295270971492;Train
1962;23000;23860.91306581579;Train
1963;26500;25201.873807846383;Train
1964;26800;26326.548292135965;Train
1965;23100;25078.892075110343;Train
1966;26900;26820.664936831956;Train
1967;29600;29490.06070550701;Train
1968;30000;30154.70749378665;Train
1969;30100;30731.84506558214;Train
1970;31500;31547.253217022535;Train
1971;37700;31980.38059876561;Train
1972;31700;32114.235326387326;Train
1973;36400;35719.663919135004;Train
1974;38700;35979.96699587563;Train
1975;36585;35363.95541027417;Train
1976;31400;30972.04717276588;Train
1977;29700;33019.271117394215;Train
1978;37200;35851.888058616074;Train
1979;36300;35737.06894642272;Train
1980;34601;35417.74142491644;Train
1981;42602;39701.97957878151;Train
1982;39502;37558.46382378759;Train
1983;30000;33518.80881069661;Train
1984;39802;37406.72214113367;Train
1985;38798;38090.58831585944;Train
1986;36596;36786.21428400539;Train
1987;32399;35237.80169689808;Train
1988;41000;38227.98701682734;Train
1989;38500;34614.08126801306;Train
1990;37902;39121.17211090609;Train
1991;39879;39335.48740191973;Train
1992;42285;41015.29278513765;Train
1993;43926;41183.69740923577;Train
1994;33174;36049.927915050226;Train
1995;35294;36789.661993518035;Train
1996;48722;44708.31904128219;Train
1997;45916;41273.964728952706;Train
1998;40337;39628.363578166594;Train
1999;35226;36504.71725681182;Train
2000;42436;40644.79695367608;Train
2001;37570;38498.84283781088;Train
2002;39094;37114.15005863131;Train
2003;33731;30314.641079670535;Train
2004;39498;37536.6478448035;Train
2005;38745;31877.613035749506;Train
2006;32699;34164.820026241265;Train
2007;41703;41526.95070220955;Train
2008;42784;42174.271290533674;Train
2009;46500;41851.95927574778;Train
2010;38698;40558.3500734452;Train
2011;45778;40592.48655161332;Train
1961;9558;10206.34987739127;Train
1962;10877;10542.089671123606;Train
1963;11429;10884.047774625284;Train
1964;11724;10983.774006233703;Train
1965;11586;11087.926151943353;Train
1966;11667;11600.048192324464;Train
1967;11733;11599.87893053643;Train
1968;12196;11857.216896067075;Train
1969;12347;12085.072354248456;Train
1970;12355;12111.239703172114;Train
1971;12426;12194.615880481673;Train
1972;12644;12212.22590545884;Train
1973;12222;12227.213532193904;Train
1974;12297;12444.223378941111;Train
1975;13989;13048.67518672836;Train
1976;15323;14466.861463172912;Train
1977;15556;15026.446951456224;Train
1978;15278;15216.782904097503;Train
1979;16982;16229.226041763432;Train
1980;16393;16400.961414023077;Train
1981;16667;16345.74963802992;Train
1982;16667;16330.527699529972;Train
1983;16487;16587.247354047235;Train
1984;16863;16932.298494358878;Train
1985;19815;18442.83396856742;Train
1986;20410;19335.05584979595;Train
1987;22173;20193.08171062895;Train
1988;22397;20532.48044481026;Train
1989;21711;20511.572415908013;Train
1990;22437;23024.335297619047;Train
1991;23065;23190.99265150886;Train
1992;23605;23393.004720238092;Train
1993;24232;23805.748934523814;Train
1994;22919;22989.517080080284;Train
1995;23771;23684.773553571427;Train
1996;23576;24154.205636904757;Train
1997;24182;24265.46354166666;Train
1998;25889;25388.3553560606;Train
1999;27298;26639.42385732323;Train
2000;26376;26334.032606570356;Train
2001;25041;25653.80457458906;Train
2002;26297;26344.56275359338;Train
2003;27257;26903.086465908236;Train
2004;26873;26747.325632574903;Train
2005;26720;27237.554729897878;Train
2006;27662;27093.099257922397;Train
2007;27721;27817.302637185043;Train
2008;28391;28232.467429032084;Train
2009;30821;30992.526045010545;Train
2010;32511;31364.05492156732;Train
2011;32598;31216.974602886006;Train
1992;11891;15490.669780514228;Train
1993;13696;12374.819727409482;Train
1994;10545;11601.765597560552;Train
1995;9623;10929.433591670064;Train
1996;11886;11328.791876592679;Train
1997;10588;11318.026430982729;Train
1998;10180;11046.99398270919;Train
1999;8203;10513.51683762943;Train
2000;12163;11514.67138327944;Train
2001;10808;11568.189971353973;Train
2002;10437;11561.946451633892;Train
2003;11628;12216.131528301648;Train
2004;13339;13049.576842311435;Train
2005;12839;13043.308237100824;Train
2006;13320;13234.934839179301;Train
2007;13144;13760.573653232897;Train
